0.375442,0.63335,0.50575,30.3144,52.224,82.5384,9204.6,8814.05,8957.49,3.67568,2.01513,2.62501,9208.27,8816.07,8960.11,2838.85,1045.49,1704.15,2825.33,1041.43,1696.62,1,10,1500,6,6,20,20,10,0.1,0.5,0,0,2,6,15,6,15,6,15,6,15,6,15,6,15,6,15,6
0.475146,0.621115,0.547683,39.78,51.3672,91.1472,8979.43,8822.9,8891.22,2.75631,2.21089,2.44893,8982.19,8825.11,8893.67,2416.39,1211.78,1737.51,2408.79,1206.89,1731.44,1,10,1500,6,6,20,20,10,0.1,0.5,0,0,6,6,15,6,15,6,15,6,15,6,15,6,15,6,15,6
0.535334,0.634795,0.584615,45.1248,52.5504,97.6752,8857.66,8756.05,8802.99,2.48931,2.14528,2.30422,8860.14,8758.19,8805.29,1911,1164.6,1509.43,1904.8,1160,1504.09,1,10,1500,6,6,20,20,10,0.1,0.5,0,0,14,6,15,6,15,6,15,6,15,6,15,6,15,6,15,6
0.640099,0.636093,0.638098,52.7544,52.3464,105.101,8779.68,8823.03,8801.27,2.11172,2.17316,2.14232,8781.79,8825.21,8803.42,1176.39,1363.47,1269.56,1171.93,1358.75,1264.97,1,10,1500,6,6,20,20,10,0.1,0.5,0,0,30,6,15,6,15,6,15,6,15,6,15,6,15,6,15,6
0.731041,0.62598,0.6777,58.9968,52.1016,111.098,8700.88,8747.65,8722.81,1.90105,2.16944,2.02692,8702.78,8749.82,8724.84,618.054,1327.53,950.776,614.439,1322.82,946.649,1,10,1500,6,6,20,20,10,0.1,0.5,0,0,62,6,15,6,15,6,15,6,15,6,15,6,15,6,15,6
0.810642,0.610975,0.707681,63.4032,50.8776,114.281,8628.3,8861.66,8732.19,1.80018,2.15393,1.95767,8630.1,8863.81,8734.15,354.948,994.061,639.48,351.707,989.42,635.616,1,10,1500,6,6,20,20,10,0.1,0.5,0,0,126,6,15,6,15,6,15,6,15,6,15,6,15,6,15,6
0.874732,0.613327,0.737768,66.6672,51.4488,118.116,8555.58,8765.75,8647.12,1.76902,2.17277,1.94489,8557.35,8767.92,8649.07,235.316,1452.19,765.362,232.186,1447.47,761.538,1,10,1500,6,6,20,20,10,0.1,0.5,0,0,254,6,15,6,15,6,15,6,15,6,15,6,15,6,15,6
0.932628,0.606533,0.758773,68.34,50.7552,119.095,8568.1,8867.3,8695.61,1.73566,2.25012,1.9549,8569.84,8869.55,8697.56,201.854,1100.86,584.987,198.841,1095.8,581.1,1,10,1500,6,6,20,20,10,0.1,0.5,0,0,510,6,15,6,15,6,15,6,15,6,15,6,15,6,15,6
0.963282,0.611381,0.772835,68.5032,51.2856,119.789,8574.63,8788.29,8666.11,1.73851,2.20312,1.93742,8576.37,8790.5,8668.04,160.082,834.323,448.747,157.059,829.468,444.94,1,10,1500,6,6,20,20,10,0.1,0.5,0,0,1022,6,15,6,15,6,15,6,15,6,15,6,15,6,15,6


    rng_run = 1
    max_packets = 1500
    min_lambda = -10
    max_lambda = -1
    step_size = 1
    lambdas = []
    nStas = 10
    lambda_val = 10 ** max_lambda
    mcs1 = 6
    mcs2 = 6
    channelWidth = 20
    channelWidth2 = 20
    cwmin_values = [3, 7, 15, 31, 63, 127, 255, 511, 1023]
